voltage,value
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
