voltage,value
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,-4.000000000000004
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,0.0
0.5v,6.000000000000005
0.5v,6.000000000000005
0.5v,6.000000000000005
0.5v,6.000000000000005
0.5v,6.000000000000005
0.5v,6.000000000000005
0.5v,6.000000000000005
0.5v,6.000000000000005
