index,voltage,value
0,0.5v,-9.999999999999998
1,0.5v,-9.999999999999998
2,0.5v,-9.999999999999998
3,0.5v,-4.000000000000004
4,0.5v,-4.000000000000004
5,0.5v,-4.000000000000004
6,0.5v,-4.000000000000004
7,0.5v,-4.000000000000004
8,0.5v,-4.000000000000004
9,0.5v,-4.000000000000004
10,0.5v,-4.000000000000004
11,0.5v,-4.000000000000004
12,0.5v,-4.000000000000004
13,0.5v,-4.000000000000004
14,0.5v,-4.000000000000004
15,0.5v,-4.000000000000004
16,0.5v,-4.000000000000004
17,0.5v,-4.000000000000004
18,0.5v,-4.000000000000004
19,0.5v,-4.000000000000004
20,0.5v,-4.000000000000004
21,0.5v,-4.000000000000004
22,0.5v,-4.000000000000004
23,0.5v,-4.000000000000004
24,0.5v,-4.000000000000004
25,0.5v,-4.000000000000004
26,0.5v,-4.000000000000004
27,0.5v,-4.000000000000004
28,0.5v,-4.000000000000004
29,0.5v,-4.000000000000004
30,0.5v,-4.000000000000004
31,0.5v,-4.000000000000004
32,0.5v,-4.000000000000004
33,0.5v,-4.000000000000004
34,0.5v,-4.000000000000004
35,0.5v,-4.000000000000004
36,0.5v,-4.000000000000004
37,0.5v,-4.000000000000004
38,0.5v,-4.000000000000004
39,0.5v,-4.000000000000004
40,0.5v,-4.000000000000004
41,0.5v,-4.000000000000004
42,0.5v,-4.000000000000004
43,0.5v,-4.000000000000004
44,0.5v,-4.000000000000004
45,0.5v,-4.000000000000004
46,0.5v,-4.000000000000004
47,0.5v,-4.000000000000004
48,0.5v,-4.000000000000004
49,0.5v,-4.000000000000004
50,0.5v,-4.000000000000004
51,0.5v,-4.000000000000004
52,0.5v,-4.000000000000004
53,0.5v,-4.000000000000004
54,0.5v,-4.000000000000004
55,0.5v,-4.000000000000004
56,0.5v,-4.000000000000004
57,0.5v,-4.000000000000004
58,0.5v,-4.000000000000004
59,0.5v,-4.000000000000004
60,0.5v,-4.000000000000004
61,0.5v,-4.000000000000004
62,0.5v,-4.000000000000004
63,0.5v,-4.000000000000004
64,0.5v,-4.000000000000004
65,0.5v,-4.000000000000004
66,0.5v,-4.000000000000004
67,0.5v,-4.000000000000004
68,0.5v,-4.000000000000004
69,0.5v,-4.000000000000004
70,0.5v,-4.000000000000004
71,0.5v,-4.000000000000004
72,0.5v,-4.000000000000004
73,0.5v,-4.000000000000004
74,0.5v,-4.000000000000004
75,0.5v,-4.000000000000004
76,0.5v,-4.000000000000004
77,0.5v,-4.000000000000004
78,0.5v,-4.000000000000004
79,0.5v,-4.000000000000004
80,0.5v,-4.000000000000004
81,0.5v,-4.000000000000004
82,0.5v,-4.000000000000004
83,0.5v,-4.000000000000004
84,0.5v,-4.000000000000004
85,0.5v,-4.000000000000004
86,0.5v,-4.000000000000004
87,0.5v,-4.000000000000004
88,0.5v,-4.000000000000004
89,0.5v,-4.000000000000004
90,0.5v,-4.000000000000004
91,0.5v,-4.000000000000004
92,0.5v,-4.000000000000004
93,0.5v,-4.000000000000004
94,0.5v,-4.000000000000004
95,0.5v,-4.000000000000004
96,0.5v,-4.000000000000004
97,0.5v,-4.000000000000004
98,0.5v,-4.000000000000004
99,0.5v,-4.000000000000004
100,0.5v,0.0
101,0.5v,0.0
102,0.5v,0.0
103,0.5v,0.0
104,0.5v,0.0
105,0.5v,0.0
106,0.5v,0.0
107,0.5v,0.0
108,0.5v,0.0
109,0.5v,0.0
110,0.5v,0.0
111,0.5v,0.0
112,0.5v,0.0
113,0.5v,0.0
114,0.5v,0.0
115,0.5v,0.0
116,0.5v,0.0
117,0.5v,0.0
118,0.5v,0.0
119,0.5v,0.0
120,0.5v,0.0
121,0.5v,0.0
122,0.5v,0.0
123,0.5v,0.0
124,0.5v,0.0
125,0.5v,0.0
126,0.5v,0.0
127,0.5v,0.0
128,0.5v,0.0
129,0.5v,0.0
130,0.5v,0.0
131,0.5v,0.0
132,0.5v,0.0
133,0.5v,0.0
134,0.5v,0.0
135,0.5v,0.0
136,0.5v,0.0
137,0.5v,0.0
138,0.5v,0.0
139,0.5v,0.0
140,0.5v,0.0
141,0.5v,0.0
142,0.5v,0.0
143,0.5v,0.0
144,0.5v,0.0
145,0.5v,0.0
146,0.5v,0.0
147,0.5v,0.0
148,0.5v,0.0
149,0.5v,0.0
150,0.5v,0.0
151,0.5v,0.0
152,0.5v,0.0
153,0.5v,0.0
154,0.5v,0.0
155,0.5v,0.0
156,0.5v,0.0
157,0.5v,0.0
158,0.5v,0.0
159,0.5v,0.0
160,0.5v,0.0
161,0.5v,0.0
162,0.5v,0.0
163,0.5v,0.0
164,0.5v,0.0
165,0.5v,0.0
166,0.5v,0.0
167,0.5v,0.0
168,0.5v,0.0
169,0.5v,0.0
170,0.5v,0.0
171,0.5v,0.0
172,0.5v,0.0
173,0.5v,0.0
174,0.5v,0.0
175,0.5v,0.0
176,0.5v,0.0
177,0.5v,0.0
178,0.5v,0.0
179,0.5v,0.0
180,0.5v,0.0
181,0.5v,0.0
182,0.5v,0.0
183,0.5v,0.0
184,0.5v,0.0
185,0.5v,0.0
186,0.5v,0.0
187,0.5v,0.0
188,0.5v,0.0
189,0.5v,0.0
190,0.5v,0.0
191,0.5v,0.0
192,0.5v,0.0
193,0.5v,0.0
194,0.5v,0.0
195,0.5v,0.0
196,0.5v,0.0
197,0.5v,0.0
198,0.5v,0.0
199,0.5v,0.0
200,0.5v,0.0
201,0.5v,0.0
202,0.5v,0.0
203,0.5v,0.0
204,0.5v,0.0
205,0.5v,0.0
206,0.5v,0.0
207,0.5v,0.0
208,0.5v,0.0
209,0.5v,0.0
210,0.5v,0.0
211,0.5v,0.0
212,0.5v,0.0
213,0.5v,0.0
214,0.5v,0.0
215,0.5v,0.0
216,0.5v,0.0
217,0.5v,0.0
218,0.5v,0.0
219,0.5v,0.0
220,0.5v,0.0
221,0.5v,0.0
222,0.5v,0.0
223,0.5v,0.0
224,0.5v,0.0
225,0.5v,0.0
226,0.5v,0.0
227,0.5v,0.0
228,0.5v,0.0
229,0.5v,0.0
230,0.5v,0.0
231,0.5v,0.0
232,0.5v,0.0
233,0.5v,0.0
234,0.5v,0.0
235,0.5v,0.0
236,0.5v,0.0
237,0.5v,0.0
238,0.5v,0.0
239,0.5v,0.0
240,0.5v,0.0
241,0.5v,0.0
242,0.5v,0.0
243,0.5v,0.0
244,0.5v,0.0
245,0.5v,0.0
246,0.5v,0.0
247,0.5v,0.0
248,0.5v,0.0
249,0.5v,0.0
250,0.5v,0.0
251,0.5v,0.0
252,0.5v,0.0
253,0.5v,0.0
254,0.5v,0.0
255,0.5v,0.0
256,0.5v,0.0
257,0.5v,0.0
258,0.5v,0.0
259,0.5v,0.0
260,0.5v,0.0
261,0.5v,0.0
262,0.5v,0.0
263,0.5v,0.0
264,0.5v,0.0
265,0.5v,0.0
266,0.5v,0.0
267,0.5v,0.0
268,0.5v,0.0
269,0.5v,0.0
270,0.5v,0.0
271,0.5v,0.0
272,0.5v,0.0
273,0.5v,0.0
274,0.5v,0.0
275,0.5v,0.0
276,0.5v,0.0
277,0.5v,0.0
278,0.5v,0.0
279,0.5v,0.0
280,0.5v,0.0
281,0.5v,0.0
282,0.5v,0.0
283,0.5v,0.0
284,0.5v,0.0
285,0.5v,0.0
286,0.5v,0.0
287,0.5v,0.0
288,0.5v,0.0
289,0.5v,0.0
290,0.5v,0.0
291,0.5v,0.0
292,0.5v,0.0
293,0.5v,0.0
294,0.5v,0.0
295,0.5v,0.0
