group1,group2,Diff,Lower,Upper,q-value,p-value,reject
0.5v,3v,6.923666666666668,6.598568888047397,7.24876444528594,93.44336855855964,0.001,True
0.5v,6v,7.725166666666667,7.400068888047396,8.050264445285938,104.26059352120257,0.001,True
0.5v,9v,8.031777777777782,7.70667999915851,8.356875556397053,108.39868630340449,0.001,True
0.5v,12v,8.20191666666667,7.8768188880473975,8.52701444528594,110.69491916180151,0.001,True
0.5v,15v,8.164466666666668,7.839368888047396,8.48956444528594,110.18948550634174,0.001,True
0.5v,18v,8.18961111111111,7.864513332491839,8.514708889730382,110.52884060567577,0.001,True
0.5v,21v,7.938904761904761,7.613806983285489,8.264002540524032,107.1452511123158,0.001,True
0.5v,24.5v,7.23669387755102,6.911596098931748,7.561791656170292,97.66805447192796,0.001,True
3v,6v,0.8014999999999993,0.47640222138072774,1.126597778619271,10.817224962642936,0.001,True
3v,9v,1.1081111111111137,0.7830133324918421,1.4332088897303854,14.955317744844852,0.001,True
3v,12v,1.2782500000000003,0.9531522213807287,1.603347778619272,17.251550603241856,0.001,True
3v,15v,1.2407999999999997,0.9157022213807281,1.5658977786192714,16.74611694778211,0.001,True
3v,18v,1.265944444444443,0.9408466658251714,1.5910422230637145,17.085472047116134,0.001,True
3v,21v,1.0152380952380922,0.6901403166188206,1.3403358738573639,13.701882553756164,0.001,True
3v,24.5v,0.3130272108843519,-0.012070567734919657,0.6381249895036235,4.2246859133683206,0.0700833684485298,False
6v,9v,0.3066111111111143,-0.018486667508157306,0.6317088897303859,4.138092782201915,0.08306881722744952,False
6v,12v,0.4767500000000011,0.15165222138072953,0.8018477786192727,6.434325640598922,0.001,True
6v,15v,0.43930000000000036,0.11420222138072877,0.7643977786192719,5.928891985139176,0.001,True
6v,18v,0.4644444444444436,0.13934666582517202,0.7895422230637152,6.2682470844732,0.001,True
6v,21v,0.21373809523809284,-0.11135968338117874,0.5388358738573644,2.884657591113229,0.5129628926384373,False
6v,24.5v,0.4884727891156474,0.16337501049637582,0.813570567734919,6.592539049274615,0.001,True
9v,12v,0.17013888888888684,-0.15495888973038474,0.4952366675081584,2.296232858397007,0.7653698729057734,False
9v,15v,0.13268888888888608,-0.1924088897303855,0.45778666750815766,1.7907992029372608,0.9,False
9v,18v,0.15783333333332933,-0.16726444528594225,0.4829311119526009,2.1301543022712845,0.8366112976143534,False
9v,21v,0.09287301587302144,-0.23222476274625015,0.417970794492293,1.253435191088686,0.9,False
9v,24.5v,0.7950839002267617,0.4699861216074901,1.1201816788460333,10.73063183147653,0.001,True
12v,15v,0.03745000000000076,-0.2876477786192708,0.36254777861927234,0.5054336554597461,0.9,False
12v,18v,0.012305555555557512,-0.31279222306371407,0.3374033341748291,0.16607855612572214,0.9,False
12v,21v,0.2630119047619083,-0.062085873857363305,0.5881096833811799,3.549668049485693,0.2271347020982002,False
12v,24.5v,0.9652227891156485,0.6401250104963769,1.29032056773492,13.026864689873536,0.001,True
15v,18v,0.025144444444443248,-0.29995333417482833,0.35024222306371483,0.33935509933402397,0.9,False
15v,21v,0.22556190476190752,-0.09953587385736407,0.5506596833811791,3.044234394025947,0.4402912847521626,False
15v,24.5v,0.9277727891156478,0.6026750104963762,1.2528705677349192,12.52143103441379,0.001,True
18v,21v,0.25070634920635076,-0.07439142941292082,0.5758041278256223,3.383589493359971,0.2881714444349286,False
18v,24.5v,0.9529172335600911,0.6278194549408195,1.2780150121793628,12.860786133747816,0.001,True
21v,24.5v,0.7022108843537402,0.37711310573446866,1.0273086629730117,9.477196640387843,0.001,True
