group1,group2,p-value,reject
0.5v,3v,0.0015479146606847127,True
0.5v,6v,0.9,False
0.5v,9v,0.9,False
0.5v,12v,0.001,True
0.5v,15v,0.001,True
0.5v,18v,0.001,True
0.5v,21v,0.001,True
3v,6v,0.0016590905548358181,True
3v,9v,0.014082714401480678,True
3v,12v,0.001,True
3v,15v,0.001,True
3v,18v,0.001,True
3v,21v,0.001,True
6v,9v,0.9,False
6v,12v,0.001,True
6v,15v,0.001,True
6v,18v,0.001,True
6v,21v,0.001,True
9v,12v,0.001,True
9v,15v,0.001,True
9v,18v,0.001,True
9v,21v,0.001,True
12v,15v,0.001,True
12v,18v,0.001,True
12v,21v,0.001,True
15v,18v,0.012037722460344846,True
15v,21v,0.001,True
18v,21v,0.001,True
