Yaw,Pitch,Lift,Drag
14:29:53.668,8.67,0.22,1.9074
14:34:54.402,11.77,0.29,3.4133
14:39:54.653,13.55,0.34,4.607
14:44:55.158,13.35,0.34,4.539000000000001
14:49:55.862,13.13,0.34,4.464200000000001
14:54:56.289,12.55,0.32,4.016
14:59:56.824,9.18,0.23,2.1114
15:04:57.327,11.45,0.28,3.206
15:09:57.830,13.38,0.32,4.2816
15:14:58.332,14.36,0.37,5.3132
15:19:58.840,14.97,0.38,5.6886
15:24:59.341,13.84,0.35,4.843999999999999
15:29:59.843,14.33,0.37,5.3021
15:35:00.345,15.53,0.4,6.212
15:40:00.821,14.48,0.37,5.3576
15:45:01.352,14.43,0.37,5.3391
15:50:01.830,12.82,0.34,4.3588
15:55:02.363,11.82,0.29,3.4278
16:00:02.834,11.89,0.31,3.6859
